loan_status,recoveries,total_pymnt,total_rec_int,total_rec_late_fee,total_rec_prncp,loan_amnt,term,int_rate,sub_grade,installment,issue_d,annual_inc,emp_length,emp_title,dti,verification_status,purpose,home_ownership,addr_state,zip_code,avg_cur_bal,delinq_2yrs,delinq_amnt,earliest_cr_line,inq_last_6mths,open_acc,open_il_12m,num_accts_ever_120_pd,num_actv_bc_tl,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_tl_90g_dpd_24m,percent_bc_gt_75,pub_rec,pub_rec_bankruptcies,revol_bal,revol_util,tax_liens,tot_cur_bal,tot_hi_cred_lim,total_acc,total_bal_ex_mort,total_bc_limit,revol_bal_joint,annual_inc_joint,dti_joint,verification_status_joint,dti_joint,loan_id
Charged Off,471.67,2083.63,660.61,0.0,951.35,14400.0, 36 months, 16.29%,D1,508.33,Apr-2016,45000.0,2 years,Officer,14.21,Verified,debt_consolidation,RENT,NY,104xx,1063.0,1.0,0.0,Jul-2008,0.0,10.0,0.0,0.0,6.0,17.0,1.0,9.0,19.0,0.0,71.4,0.0,0.0,6843.0,69.1%,0.0,9566.0,15175.0,20.0,9566.0,7900.0,,,,,,74343
Charged Off,1393.0,29092.27,9246.72,0.0,18452.55,24000.0, 60 months, 13.67%,C3,554.35,Apr-2016,90000.0,5 years,Federal officer,25.81,Not Verified,credit_card,RENT,TX,785xx,3360.0,0.0,0.0,May-2007,0.0,16.0,1.0,0.0,6.0,7.0,10.0,13.0,18.0,0.0,0.0,0.0,0.0,25587.0,59.2%,0.0,53765.0,91026.0,28.0,53765.0,20400.0,,,,,,74344
Charged Off,2794.31,8062.26,1919.41,0.0,3348.54,30000.0, 36 months, 16.29%,D1,1059.02,Apr-2016,90000.0,10+ years,Account/Project Manager,12.07,Source Verified,debt_consolidation,MORTGAGE,CO,800xx,22939.0,1.0,0.0,Sep-2003,2.0,12.0,2.0,1.0,2.0,5.0,11.0,8.0,8.0,0.0,0.0,0.0,0.0,6079.0,30.9%,0.0,275269.0,303298.0,21.0,28445.0,13300.0,,,,,,74281
Charged Off,2687.81,11111.95,3932.68,0.0,4491.46,24000.0, 60 months, 14.46%,C4,564.18,Apr-2016,60000.0,10+ years,Registered Nurse,20.92,Verified,debt_consolidation,MORTGAGE,KS,672xx,6233.0,0.0,0.0,Dec-1998,4.0,20.0,1.0,0.0,9.0,18.0,5.0,17.0,30.0,0.0,20.0,1.0,0.0,16510.0,30.2%,1.0,118422.0,178272.0,38.0,76818.0,37400.0,,85000.0,22.79,Not Verified,22.79,74205
Charged Off,0.0,1620.56,752.75,0.0,867.81,24000.0, 60 months, 12.99%,C2,545.96,Apr-2016,60000.0,4 years,Minister,26.36,Not Verified,debt_consolidation,RENT,CA,922xx,5871.0,0.0,0.0,Dec-1998,0.0,10.0,0.0,0.0,6.0,8.0,4.0,8.0,11.0,0.0,66.7,0.0,0.0,47904.0,80.2%,0.0,58708.0,70224.0,15.0,58708.0,51500.0,,,,,,74204
Charged Off,4263.81,15119.65,6219.79,0.0,4636.05,35000.0, 60 months, 18.99%,D4,907.73,Apr-2016,275000.0,9 years,Controller,17.52,Verified,debt_consolidation,MORTGAGE,NY,117xx,33475.0,1.0,0.0,Dec-1992,2.0,17.0,1.0,0.0,5.0,12.0,5.0,11.0,29.0,0.0,60.0,0.0,0.0,141527.0,82%,0.0,502127.0,620391.0,37.0,162275.0,70300.0,,,,,,74203
Charged Off,0.0,3149.47,526.89,0.0,2622.58,5000.0, 36 months,  8.39%,B1,157.59,Apr-2016,32000.0,3 years,Office ,29.18,Source Verified,debt_consolidation,MORTGAGE,LA,703xx,8424.0,0.0,0.0,May-1996,3.0,10.0,0.0,0.0,6.0,6.0,2.0,6.0,10.0,0.0,100.0,0.0,0.0,27623.0,94%,0.0,58972.0,65954.0,15.0,27623.0,29300.0,,,,,,74042
Charged Off,365.9,6296.7,2069.17,0.0,3861.63,9600.0, 36 months, 18.99%,D4,351.85,Apr-2016,24000.0,10+ years,Clerk ,25.9,Source Verified,credit_card,RENT,AZ,850xx,2161.0,0.0,0.0,May-2005,1.0,7.0,1.0,0.0,4.0,4.0,2.0,6.0,6.0,0.0,75.0,0.0,0.0,11261.0,79.3%,0.0,15130.0,18200.0,8.0,15130.0,11500.0,,,,,,74050
Charged Off,464.53,3847.95,816.05,0.0,2567.37,6000.0, 36 months, 11.99%,C1,199.26,Apr-2016,39000.0,10+ years,Sales Man,33.57,Source Verified,debt_consolidation,RENT,NY,112xx,2590.0,0.0,0.0,Jul-2008,0.0,11.0,0.0,0.0,6.0,7.0,2.0,10.0,10.0,0.0,83.3,0.0,0.0,14268.0,71.7%,0.0,25896.0,49012.0,12.0,25896.0,15800.0,,,,,,74054
Charged Off,201.0,6101.05,2344.24,0.0,3555.81,10000.0, 60 months, 12.99%,C2,227.48,Apr-2016,80000.0,< 1 year,Laboratory Technologist,23.51,Source Verified,medical,MORTGAGE,TN,371xx,30300.0,0.0,0.0,Sep-2002,0.0,10.0,0.0,0.0,4.0,7.0,6.0,6.0,10.0,0.0,100.0,1.0,1.0,14194.0,69.6%,0.0,302997.0,327374.0,18.0,60297.0,14900.0,,,,,,74056
Charged Off,324.35,1026.44,286.05,0.0,416.04,6000.0, 36 months, 12.99%,C2,202.14,Apr-2016,26000.0,,,32.46,Verified,credit_card,RENT,MD,215xx,2855.0,0.0,0.0,Nov-1998,0.0,7.0,1.0,0.0,3.0,4.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5498.0,37.9%,0.0,17128.0,42159.0,9.0,17128.0,13500.0,,,,,,74065
Charged Off,1628.74,14529.59,3274.9,0.0,9625.95,17125.0, 36 months, 13.67%,C3,582.56,Apr-2016,48000.0,,,23.0,Verified,home_improvement,MORTGAGE,NY,145xx,9559.0,1.0,0.0,Aug-1993,0.0,14.0,0.0,0.0,2.0,3.0,9.0,4.0,7.0,0.0,100.0,1.0,1.0,8739.0,64.7%,0.0,133824.0,155562.0,18.0,84020.0,10000.0,,72000.0,19.65,Not Verified,19.65,74072
Charged Off,0.0,3390.0,1195.71,0.0,2194.29,5450.0, 36 months, 18.99%,D4,199.75,Apr-2016,15280.0,,,34.72,Verified,debt_consolidation,OWN,GA,317xx,736.0,0.0,0.0,May-1998,1.0,5.0,0.0,0.0,1.0,4.0,2.0,5.0,10.0,0.0,0.0,0.0,0.0,3679.0,28.1%,0.0,3679.0,13100.0,12.0,3679.0,800.0,,,,,,74073
Charged Off,748.88,23075.05,3059.63,0.0,19266.54,20000.0, 36 months,  9.16%,B2,637.49,Apr-2016,80000.0,10+ years,Driver,31.56,Verified,debt_consolidation,MORTGAGE,TN,378xx,18326.0,4.0,0.0,Aug-2001,1.0,11.0,1.0,0.0,2.0,4.0,11.0,8.0,15.0,2.0,100.0,0.0,0.0,20477.0,66%,0.0,201594.0,246090.0,27.0,81666.0,9700.0,,,,,,74075
Charged Off,1027.38,13518.57,5141.99,0.0,7349.2,14500.0, 60 months, 15.31%,C5,347.32,Apr-2016,78145.0,7 years,Research Engineer,29.82,Not Verified,credit_card,MORTGAGE,TX,782xx,14710.0,0.0,0.0,Aug-2005,1.0,18.0,1.0,0.0,6.0,7.0,16.0,10.0,14.0,0.0,28.6,0.0,0.0,22922.0,54.4%,0.0,264775.0,304268.0,33.0,90089.0,33400.0,,,,,,74089
Charged Off,172.73,9930.79,2762.73,0.0,6995.33,9600.0, 36 months, 18.25%,D3,348.27,Apr-2016,50000.0,1 year,911 telecommunicator,15.27,Verified,debt_consolidation,RENT,TX,770xx,7370.0,0.0,0.0,Oct-2012,0.0,5.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,0.0,100.0,0.0,0.0,4043.0,67.4%,0.0,29480.0,37023.0,6.0,29480.0,4500.0,,,,,,74094
Charged Off,2842.67,23814.83,6541.63,0.0,14430.53,35000.0, 36 months, 16.29%,D1,1235.52,Apr-2016,107000.0,10+ years,Staff RN,23.65,Verified,debt_consolidation,RENT,AZ,860xx,8839.0,0.0,0.0,Sep-1993,0.0,11.0,1.0,0.0,6.0,7.0,4.0,8.0,9.0,0.0,85.7,0.0,0.0,59068.0,91.2%,0.0,97228.0,107935.0,17.0,97228.0,60800.0,,,,,,74106
Charged Off,1278.49,15252.35,3183.27,0.0,10790.59,20000.0, 36 months, 11.99%,C1,664.2,Apr-2016,80000.0,10+ years,corrections officer,19.57,Source Verified,credit_card,MORTGAGE,NY,129xx,4652.0,0.0,0.0,Oct-1999,0.0,7.0,0.0,0.0,4.0,7.0,4.0,6.0,11.0,0.0,100.0,0.0,0.0,18268.0,90.9%,0.0,32566.0,40100.0,15.0,32566.0,18800.0,,,,,,74108
Charged Off,0.0,13383.37,1990.7,0.0,11392.67,14000.0, 36 months,  9.16%,B2,446.24,Apr-2016,49000.0,8 years,General Manager,24.08,Not Verified,credit_card,MORTGAGE,FL,346xx,2485.0,1.0,0.0,Dec-2007,0.0,14.0,0.0,0.0,3.0,9.0,4.0,13.0,17.0,0.0,28.6,0.0,0.0,15817.0,40.3%,0.0,32308.0,62200.0,23.0,32308.0,24300.0,,,,,,74112
Charged Off,0.0,1751.48,545.72,0.0,1205.76,6400.0, 36 months, 13.67%,C3,217.72,Apr-2016,90000.0,10+ years,Teacher,23.74,Source Verified,credit_card,RENT,NY,104xx,4767.0,0.0,0.0,Mar-1987,1.0,14.0,1.0,0.0,6.0,10.0,3.0,11.0,19.0,0.0,66.7,0.0,0.0,59129.0,60.2%,0.0,66732.0,132400.0,22.0,66732.0,94700.0,,,,,,74116
Charged Off,0.0,565.1,308.22,0.0,256.88,11400.0, 60 months, 15.31%,C5,273.07,Apr-2016,31000.0,10+ years,house keeper,32.86,Not Verified,debt_consolidation,MORTGAGE,CA,925xx,8569.0,0.0,0.0,Apr-1999,0.0,13.0,0.0,0.0,6.0,7.0,4.0,11.0,15.0,0.0,16.7,0.0,0.0,23900.0,33.3%,0.0,111392.0,168060.0,22.0,39201.0,55800.0,,,,,,74118
Charged Off,1038.03,7374.02,2206.19,0.0,4129.8,20000.0, 36 months, 16.29%,D1,706.01,Apr-2016,50000.0,1 year,Sales Associate ,31.13,Not Verified,credit_card,MORTGAGE,PA,159xx,8619.0,0.0,0.0,Feb-1986,0.0,18.0,1.0,0.0,5.0,17.0,6.0,15.0,34.0,0.0,66.7,0.0,0.0,22190.0,43.7%,0.0,137902.0,182201.0,43.0,61865.0,30300.0,,,,,,74132
Charged Off,0.0,7711.67,1211.9,0.0,6499.77,8000.0, 36 months,  9.75%,B3,257.2,Apr-2016,50000.0,3 years,Operations Director,26.36,Source Verified,debt_consolidation,MORTGAGE,TX,754xx,4272.0,1.0,0.0,Apr-2005,0.0,12.0,1.0,1.0,2.0,4.0,12.0,6.0,7.0,0.0,25.0,0.0,0.0,5687.0,40.6%,0.0,51259.0,70690.0,20.0,51259.0,11600.0,,,,,,74133
Charged Off,1799.99,25430.28,15638.59,52.99,7938.71,35000.0, 60 months, 26.57%,F5,1059.76,Apr-2016,241000.0,10+ years,Director of Sales,15.91,Verified,home_improvement,MORTGAGE,ID,836xx,52381.0,0.0,0.0,Oct-1992,3.0,13.0,3.0,0.0,5.0,13.0,8.0,6.0,17.0,0.0,100.0,0.0,0.0,56460.0,86%,0.0,628572.0,681402.0,30.0,92369.0,36000.0,,,,,,74145
Charged Off,788.0,7342.5,1319.06,15.0,5220.44,7000.0, 36 months, 11.99%,C1,232.47,Apr-2016,54000.0,10+ years,Funeral Director/Manager,30.89,Verified,debt_consolidation,MORTGAGE,AZ,856xx,21829.0,0.0,0.0,Mar-1994,2.0,12.0,1.0,0.0,2.0,13.0,14.0,8.0,25.0,0.0,100.0,1.0,1.0,12263.0,66.3%,0.0,261949.0,289980.0,41.0,45940.0,6300.0,,,,,,74150
Charged Off,180.81,11572.45,2164.2,19.93,9207.51,12000.0, 36 months, 11.99%,C1,398.52,Apr-2016,60000.0,7 years,Rail Training Instructor ,22.86,Source Verified,debt_consolidation,MORTGAGE,TX,775xx,11291.0,0.0,0.0,Apr-2004,2.0,18.0,0.0,0.0,4.0,4.0,9.0,11.0,11.0,0.0,50.0,0.0,0.0,18286.0,73.4%,0.0,203232.0,236715.0,21.0,43001.0,11200.0,,,,,,74156
Charged Off,2788.0,3994.73,648.73,15.0,543.0,5000.0, 36 months, 18.25%,D3,181.39,Apr-2016,19000.0,6 years,Cook,5.18,Verified,debt_consolidation,RENT,CA,925xx,946.0,0.0,0.0,Jun-2012,0.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,100.0,0.0,0.0,2838.0,48.9%,0.0,2838.0,5800.0,4.0,2838.0,1400.0,,,,,,74158
Charged Off,2305.07,6050.2,1832.72,0.0,1912.41,20000.0, 60 months, 14.46%,C4,470.15,Apr-2016,45000.0,2 years,Paramedic,23.71,Source Verified,credit_card,RENT,TX,752xx,3831.0,0.0,0.0,Sep-2001,0.0,9.0,0.0,0.0,4.0,10.0,2.0,8.0,22.0,0.0,40.0,0.0,0.0,18442.0,48.2%,0.0,34478.0,64895.0,24.0,34478.0,26600.0,,,,,,74166
Charged Off,2423.0,8481.19,2103.17,32.2,3922.82,9000.0, 36 months, 17.27%,D2,322.09,Apr-2016,63000.0,4 years,legal assistant ,11.14,Source Verified,other,RENT,FL,330xx,3402.0,0.0,0.0,Mar-2005,1.0,8.0,1.0,0.0,5.0,5.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,4763.0,51.2%,0.0,27218.0,37072.0,9.0,27218.0,7900.0,,,,,,74167
Charged Off,801.25,3182.83,1441.53,0.0,940.05,13000.0, 60 months, 19.99%,E1,344.35,Apr-2016,70000.0,10+ years,Real Estate Consultant,17.66,Verified,other,RENT,TX,799xx,4050.0,0.0,0.0,Mar-1991,0.0,13.0,1.0,0.0,6.0,6.0,1.0,12.0,14.0,0.0,50.0,0.0,0.0,11788.0,58.9%,0.0,48601.0,58710.0,15.0,48601.0,12800.0,,,,,,74175
Charged Off,0.0,10561.99,1443.15,15.94,9102.9,10000.0, 36 months,  9.16%,B2,318.75,Apr-2016,41000.0,3 years,Electrican,20.11,Not Verified,credit_card,OWN,FL,339xx,2294.0,0.0,0.0,May-2002,2.0,10.0,0.0,0.0,7.0,10.0,3.0,9.0,10.0,0.0,0.0,0.0,0.0,6879.0,32.9%,0.0,20647.0,46088.0,13.0,20647.0,20900.0,,,,,,74185
Charged Off,0.0,5408.43,3322.65,0.0,2085.78,18250.0, 60 months, 21.18%,E3,495.58,Apr-2016,62000.0,5 years,BUSINESS MANAGER,47.27,Verified,debt_consolidation,OWN,AL,360xx,5202.0,0.0,0.0,Jun-2008,0.0,14.0,1.0,0.0,3.0,3.0,29.0,4.0,4.0,0.0,100.0,0.0,0.0,11326.0,88.5%,0.0,72822.0,104427.0,34.0,72822.0,10700.0,,,,,,74187
Charged Off,0.0,9461.92,4554.08,0.0,4907.84,28800.0, 60 months, 15.31%,C5,689.85,Apr-2016,70000.0,10+ years,MANAGER 1 ,13.54,Source Verified,debt_consolidation,MORTGAGE,CA,956xx,9482.0,0.0,0.0,May-1978,1.0,14.0,1.0,0.0,3.0,6.0,4.0,11.0,17.0,0.0,25.0,1.0,1.0,13084.0,42.1%,0.0,123272.0,145343.0,24.0,28711.0,19000.0,,,,,,74190
Charged Off,4300.0,6088.6,647.98,0.0,1140.62,7200.0, 36 months, 16.29%,D1,254.17,Apr-2016,40000.0,2 years,Planner,26.79,Not Verified,debt_consolidation,RENT,IL,622xx,11252.0,0.0,0.0,Dec-2009,1.0,5.0,0.0,0.0,3.0,3.0,12.0,3.0,3.0,0.0,100.0,0.0,0.0,6016.0,87.2%,0.0,56261.0,61048.0,15.0,56261.0,6900.0,,,,,,74350
Charged Off,146.26,2747.25,787.45,0.0,1813.54,4125.0, 36 months, 16.29%,D1,145.62,Apr-2016,11500.0,3 years,Sales Associate,30.48,Verified,debt_consolidation,MORTGAGE,IL,606xx,2394.0,0.0,0.0,Mar-2012,1.0,4.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,100.0,0.0,0.0,9576.0,88.7%,0.0,9576.0,11408.0,4.0,9576.0,10600.0,,,,,,74031
